TransactionId,Timestamp,ItemName,Quantity,PricePaid,PaymentMethod,CustomerLoyaltyId
T10000,20:26,Dalda Cooking Oil 5L,1,2250,Card,L4253
T10000,20:26,Lipton Yellow Label 380g,1,680,Card,L4253
T10001,03:34,Dalda Cooking Oil 5L,2,4500,Cash,None
T10001,03:34,Lipton Yellow Label 380g,1,680,Cash,None
T10002,23:11,Dalda Cooking Oil 5L,2,4500,Card,L4680
T10002,23:11,Lipton Yellow Label 380g,1,680,Card,L4680
T10003,22:15,Dalda Cooking Oil 5L,1,2250,Card,None
T10003,22:15,Lipton Yellow Label 380g,1,680,Card,None
T10004,06:44,Dalda Cooking Oil 5L,1,2250,Cash,None
T10004,06:44,Lipton Yellow Label 380g,2,1360,Cash,None
T10005,06:29,Dalda Cooking Oil 5L,1,2250,Cash,L1934
T10005,06:29,Lipton Yellow Label 380g,1,680,Cash,L1934
T10006,22:21,Dalda Cooking Oil 5L,1,2250,Cash,L7475
T10006,22:21,Lipton Yellow Label 380g,1,680,Cash,L7475
T10007,15:48,Nestle Milkpak 1L,5,1300,Cash,L4635
T10007,15:48,Olper's Cream 200ml,2,360,Cash,L4635
T10008,22:28,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L5047
T10008,22:28,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L5047
T10009,02:02,Dalda Cooking Oil 5L,1,2250,Cash,L2648
T10009,02:02,Lipton Yellow Label 380g,2,1360,Cash,L2648
T10009,02:02,Surf Excel 1kg,1,460,Cash,L2648
T10010,20:47,Dalda Cooking Oil 5L,1,2250,Card,None
T10011,02:27,Dalda Cooking Oil 5L,2,4500,Card,L4267
T10011,02:27,Lipton Yellow Label 380g,1,680,Card,L4267
T10012,17:22,Lux Soap 150g,2,260,Mobile Wallet,None
T10012,17:22,Ariel Detergent 2kg,2,1900,Mobile Wallet,None
T10012,17:22,Olper's Cream 200ml,2,360,Mobile Wallet,None
T10013,14:29,Nestle Milkpak 1L,3,780,Cash,L8167
T10013,14:29,Lipton Yellow Label 380g,1,680,Cash,L8167
T10014,22:43,National Chilli Powder 200g,2,420,Cash,L3337
T10015,02:52,Dalda Cooking Oil 5L,2,4500,Cash,None
T10015,02:52,Lipton Yellow Label 380g,2,1360,Cash,None
T10016,04:32,Dalda Cooking Oil 5L,2,4500,Card,L7322
T10016,04:32,Lipton Yellow Label 380g,1,680,Card,L7322
T10016,04:32,Shan Biryani Masala 50g,1,90,Card,L7322
T10017,02:35,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L9719
T10017,02:35,Lipton Yellow Label 380g,1,680,Mobile Wallet,L9719
T10018,19:24,Surf Excel 1kg,1,460,Card,None
