TransactionId,Timestamp,ItemName,Quantity,PricePaid,PaymentMethod,CustomerLoyaltyId
T2000,08:01,Surf Excel 1kg,2,920,Wallet,None
T2001,08:03,Nestle Milkpak 1L,9,2700,Card,None
T2002,08:06,Tapal Danedar 900g,3,4050,Card,None
T2003,08:07,Yogurt Pack 1kg,12,3600,Card,L9073
T2004,08:09,Tapal Danedar 900g,1,1350,Cash,None
T2005,08:12,Nestle Milkpak 1L,11,3300,Cash,L3924
T2006,08:13,Nestle Milkpak 1L,7,2100,Card,None
T2007,08:14,Yogurt Pack 1kg,4,1200,Wallet,None
T2008,08:17,Dalda Cooking Oil 5L,1,2250,Card,L6988
T2009,08:20,Tapal Danedar 900g,1,1350,Card,None
T2010,08:23,Yogurt Pack 1kg,9,2700,Wallet,None
T2011,08:24,Tapal Danedar 900g,3,4050,Card,None
T2012,08:25,Tapal Danedar 900g,1,1350,Card,None
T2013,08:28,Nestle Milkpak 1L,12,3600,Card,L4743
T2014,08:31,Tapal Danedar 900g,2,2700,Wallet,None
T2015,08:32,Nestle Milkpak 1L,4,1200,Cash,None
T2016,08:33,Yogurt Pack 1kg,10,3000,Cash,None
T2017,08:35,Nestle Milkpak 1L,11,3300,Wallet,L8910
T2018,08:38,Nestle Milkpak 1L,11,3300,Card,None
T2019,08:40,Dalda Cooking Oil 5L,1,2250,Cash,None
T2020,08:41,Yogurt Pack 1kg,6,1800,Cash,None
T2021,08:42,Nestle Milkpak 1L,8,2400,Card,None
T2022,08:45,Surf Excel 1kg,1,460,Wallet,None
T2023,08:47,Yogurt Pack 1kg,11,3300,Wallet,L8499
T2024,08:49,Surf Excel 1kg,1,460,Cash,None
T2025,08:51,Dalda Cooking Oil 5L,3,6750,Wallet,L3361
T2026,08:52,Surf Excel 1kg,4,1840,Card,None
T2027,08:55,Surf Excel 1kg,4,1840,Cash,L4743
T2028,08:56,Surf Excel 1kg,6,2760,Card,None
T2029,08:58,Tapal Danedar 900g,2,2700,Wallet,L7544
T2030,09:01,Dalda Cooking Oil 5L,1,2250,Card,None
T2031,09:04,Nestle Milkpak 1L,12,3600,Cash,None
T2032,09:07,Tapal Danedar 900g,3,4050,Cash,None
T2033,09:08,Nestle Milkpak 1L,7,2100,Card,None
T2034,09:11,Nestle Milkpak 1L,9,2700,Card,None
T2035,09:13,Yogurt Pack 1kg,6,1800,Cash,L2055
T2036,09:14,Tapal Danedar 900g,3,4050,Card,None
T2037,09:17,Surf Excel 1kg,1,460,Wallet,None
T2038,09:18,Yogurt Pack 1kg,4,1200,Cash,None
T2039,09:20,Tapal Danedar 900g,2,2700,Card,None
T2040,09:22,Surf Excel 1kg,8,3680,Cash,L7915
T2041,09:25,Dalda Cooking Oil 5L,2,4500,Wallet,None
T2042,09:26,Dalda Cooking Oil 5L,3,6750,Cash,L4743
T2043,09:27,Nestle Milkpak 1L,6,1800,Cash,L7544
T2044,09:30,Dalda Cooking Oil 5L,1,2250,Wallet,L4743
T2045,09:31,Tapal Danedar 900g,1,1350,Card,None
T2046,09:33,Yogurt Pack 1kg,6,1800,Wallet,None
T2047,09:34,Nestle Milkpak 1L,9,2700,Cash,L5210
T2048,09:37,Surf Excel 1kg,5,2300,Cash,None
T2049,09:38,Nestle Milkpak 1L,4,1200,Card,None
T2050,09:41,Nestle Milkpak 1L,7,2100,Wallet,None
T2051,09:44,Nestle Milkpak 1L,11,3300,Card,None
T2052,09:46,Yogurt Pack 1kg,6,1800,Card,None
T2053,09:48,Dalda Cooking Oil 5L,2,4500,Card,None
T2054,09:49,Yogurt Pack 1kg,4,1200,Card,None
T2055,09:50,Surf Excel 1kg,1,460,Wallet,None
T2056,09:52,Yogurt Pack 1kg,7,2100,Wallet,L3924
T2057,09:55,Yogurt Pack 1kg,11,3300,Wallet,None
T2058,09:58,Nestle Milkpak 1L,11,3300,Card,L6649
T2059,10:01,Nestle Milkpak 1L,10,3000,Wallet,L7262
T2060,10:02,Nestle Milkpak 1L,6,1800,Cash,L9205
T2061,10:04,Nestle Milkpak 1L,12,3600,Cash,None
T2062,10:06,Nestle Milkpak 1L,11,3300,Wallet,None
T2063,10:07,Dalda Cooking Oil 5L,2,4500,Card,None
T2064,10:08,Nestle Milkpak 1L,7,2100,Card,None
T2065,10:09,Yogurt Pack 1kg,6,1800,Wallet,None
T2066,10:11,Surf Excel 1kg,6,2760,Wallet,L7372
T2067,10:12,Dalda Cooking Oil 5L,3,6750,Card,L9205
T2068,10:14,Surf Excel 1kg,4,1840,Card,L7544
